"","Cluster","gene","old_cluster","sgCtu1_input","sgCtu1_polysome","sgCtu2_input","sgCtu2_polysome","sgCtu1_TE","sgCtu2_TE"
"1","1","Maf1"," 9"," 0.139299598"," 0.331241409","-0.00842713"," 0.87561769"," 0.1919418107"," 0.884044819"
"2","1","Rhog"," 9","-0.029849766"," 0.259067854"," 0.03202380"," 0.58844505"," 0.2889176197"," 0.556421248"
"3","1","Golga7"," 9"," 0.224545279"," 0.483455488"," 0.21482465"," 0.61161249"," 0.2589102088"," 0.396787842"
"4","1","Cav2"," 9"," 0.083593092"," 0.484320801"," 0.22808936"," 0.59722261"," 0.4007277091"," 0.369133241"
"5","1","Tmem154"," 9"," 0.137611876"," 0.346264518"," 0.29827055"," 0.65488396"," 0.2086526424"," 0.356613408"
"6","1","Ier3"," 9"," 0.029024603"," 0.268998321"," 0.22615386"," 0.57028578"," 0.2399737181"," 0.344131917"
"7","1","Med8"," 9"," 0.136285625"," 0.278604331"," 0.24789209"," 0.52053524"," 0.1423187059"," 0.272643146"
"8","1","Atf4"," 9"," 0.147998167"," 0.373132265"," 0.19484680"," 0.53074207"," 0.2251340976"," 0.335895263"
"9","1","Cxcl16"," 9"," 0.217527174"," 0.420200340"," 0.18411107"," 0.46524031"," 0.2026731660"," 0.281129237"
"10","1","Cd68"," 9"," 0.148220893"," 0.415345572"," 0.30750281"," 0.50917730"," 0.2671246794"," 0.201674485"
"11","1","Glmp"," 9"," 0.150516968"," 0.368690465"," 0.26479875"," 0.48521054"," 0.2181734972"," 0.220411791"
"12","1","Zfp706"," 9"," 0.097651660"," 0.377805046"," 0.21312394"," 0.48848414"," 0.2801533866"," 0.275360202"
"13","1","Rac2"," 9"," 0.117400328"," 0.410659639"," 0.22823527"," 0.44644219"," 0.2932593108"," 0.218206929"
"14","1","Gm2a"," 9"," 0.140983263"," 0.425767249"," 0.14276709"," 0.38888736"," 0.2847839863"," 0.246120267"
"15","1","Ppp2r5c"," 9"," 0.096743724"," 0.351349319"," 0.14215571"," 0.42579304"," 0.2546055951"," 0.283637323"
"16","1","Heph"," 9"," 0.231000682"," 0.359655829"," 0.13484723"," 0.40717856"," 0.1286551475"," 0.272331326"
"17","1","Pmp22"," 9"," 0.262060116"," 0.546087104"," 0.21531030"," 0.38051082"," 0.2840269876"," 0.165200516"
"18","1","Rgs1"," 9"," 0.159935950"," 0.470084753"," 0.19280923"," 0.32340443"," 0.3101488039"," 0.130595200"
"19","1","Dazap2"," 9"," 0.235345109"," 0.445712801"," 0.28946519"," 0.43892282"," 0.2103676916"," 0.149457628"
"20","1","Id2"," 9"," 0.215880784"," 0.431706476"," 0.28554655"," 0.44497474"," 0.2158256921"," 0.159428189"
"21","1","Arf1"," 9"," 0.220187840"," 0.429468618"," 0.29910616"," 0.40867845"," 0.2092807783"," 0.109572288"
"22","1","Lamtor3"," 9"," 0.237843834"," 0.396293527"," 0.29021844"," 0.43978827"," 0.1584496928"," 0.149569833"
"23","1","Nubp1"," 9"," 0.242449502"," 0.354666440"," 0.29875287"," 0.45635937"," 0.1122169380"," 0.157606498"
"24","1","Ly6i"," 9"," 0.248484331"," 0.389709322"," 0.23310419"," 0.37439917"," 0.1412249910"," 0.141294972"
"25","1","Ssr4"," 9"," 0.178014476"," 0.356851040"," 0.30831008"," 0.39079169"," 0.1788365639"," 0.082481602"
"26","1","Arhgdib"," 9"," 0.179226121"," 0.383383006"," 0.25900384"," 0.31922330"," 0.2041568846"," 0.060219467"
"27","1","Myl12b"," 9"," 0.220395945"," 0.354454009"," 0.27421246"," 0.33258239"," 0.1340580638"," 0.058369938"
"28","1","Atp5c1"," 9"," 0.219815324"," 0.395450238"," 0.28428984"," 0.28533136"," 0.1756349140"," 0.001041515"
"29","1","Prdx6"," 9"," 0.186735335"," 0.348177344"," 0.20225252"," 0.26440728"," 0.1614420091"," 0.062154759"
"30","1","Tagln2"," 9"," 0.188193855"," 0.328289657"," 0.20713251"," 0.26867754"," 0.1400958015"," 0.061545030"
"31","1","Bcl2a1a"," 9"," 0.144808642"," 0.338471700"," 0.09506020"," 0.16438940"," 0.1936630574"," 0.069329206"
"32","1","1810058I24Rik"," 9"," 0.184776479"," 0.311971831"," 0.21954536"," 0.41702361"," 0.1271953522"," 0.197478255"
"33","1","Ube2d3"," 9"," 0.130014633"," 0.294997509"," 0.18106248"," 0.35616783"," 0.1649828760"," 0.175105357"
"34","1","Ly6e"," 9"," 0.094504354"," 0.265923253"," 0.18535443"," 0.36363239"," 0.1714188986"," 0.178277960"
"35","1","Rpl28"," 9"," 0.184505586"," 0.243136517"," 0.22074775"," 0.40586379"," 0.0586309308"," 0.185116040"
"36","1","Dynlrb1"," 9"," 0.187741488"," 0.222325815"," 0.19547782"," 0.33178599"," 0.0345843268"," 0.136308171"
"37","1","Slc31a2"," 9"," 0.079273597"," 0.164506606"," 0.11990741"," 0.40653061"," 0.0852330089"," 0.286623201"
"38","1","Fkbp1a"," 9"," 0.058088863"," 0.162213921"," 0.01775724"," 0.34341049"," 0.1041250582"," 0.325653247"
"39","1","Ifitm1","10"," 0.499397436"," 0.646890940"," 0.63221827"," 0.74026452"," 0.1474935039"," 0.108046244"
"40","1","Ccl17","10"," 0.516051390"," 0.507704385"," 0.57535916"," 0.75758256","-0.0083470054"," 0.182223407"
"41","1","H2-DMb2","10"," 0.339798656"," 0.590489353"," 0.66099708"," 0.63728169"," 0.2506906968","-0.023715391"
"42","1","2410002F23Rik","10"," 0.300652808"," 0.303199541"," 0.73615800"," 0.83471847"," 0.0025467329"," 0.098560471"
"43","1","Socs2","10"," 0.341096496"," 0.390460664"," 0.50437747"," 0.63282135"," 0.0493641677"," 0.128443887"
"44","1","Csta2","10"," 0.273089053"," 0.242302774"," 0.59299721"," 0.57257248","-0.0307862785","-0.020424724"
"45","1","Car4","10"," 0.278671506"," 0.530147915"," 0.48369831"," 0.56085757"," 0.2514764092"," 0.077159260"
"46","1","Cd200r4","10"," 0.230106597"," 0.402654353"," 0.40805497"," 0.52457989"," 0.1725477559"," 0.116524916"
"47","1","Gpr171","10"," 0.214220622"," 0.374905265"," 0.45200810"," 0.55095493"," 0.1606846438"," 0.098946828"
"48","1","Nit2","10"," 0.259488050"," 0.408293720"," 0.51058119"," 0.51835863"," 0.1488056701"," 0.007777434"
"49","1","0610009B22Rik","10"," 0.265377933"," 0.380312572"," 0.46028865"," 0.53485206"," 0.1149346385"," 0.074563416"
"50","1","Plet1","10"," 0.276383859"," 0.543796356"," 0.32093344"," 0.45275812"," 0.2674124973"," 0.131824673"
"51","1","Nipsnap3b","10"," 0.230886094"," 0.517272898"," 0.31788564"," 0.39864577"," 0.2863868041"," 0.080760133"
"52","1","Ccl22","10"," 0.412548780"," 0.534850740"," 0.30633587"," 0.41506957"," 0.1223019605"," 0.108733703"
"53","1","Cytip","10"," 0.261697734"," 0.485350944"," 0.33674796"," 0.47235218"," 0.2236532103"," 0.135604218"
"54","1","Myl12a","10"," 0.278066648"," 0.465683708"," 0.37277587"," 0.48907438"," 0.1876170606"," 0.116298506"
"55","1","Sumo2","10"," 0.291575189"," 0.428698145"," 0.37190286"," 0.45707353"," 0.1371229563"," 0.085170670"
"56","1","H2-DMb1","10"," 0.297031172"," 0.408665341"," 0.35999834"," 0.44105599"," 0.1116341683"," 0.081057649"
"57","1","Rps11","10"," 0.267630370"," 0.385957862"," 0.33695638"," 0.46065618"," 0.1183274926"," 0.123699805"
"58","1","Cd74","10"," 0.339023880"," 0.485749229"," 0.36476168"," 0.33608935"," 0.1467253490","-0.028672329"
"59","1","H2-Aa","10"," 0.288519486"," 0.396434994"," 0.36655267"," 0.30531243"," 0.1079155078","-0.061240247"
"60","1","Tecr","10"," 0.254221137"," 0.382220919"," 0.37350723"," 0.31026709"," 0.1279997822","-0.063240135"
"61","2","U90926"," 3"," 0.150725715"," 0.363969951","-0.60819271","-0.61371742"," 0.2132442352","-0.005524710"
"62","2","Rsad2"," 3","-0.056312364"," 0.021201040","-0.41699796","-0.50466900"," 0.0775134037","-0.087671039"
"63","2","Cmpk2"," 3","-0.030689509"," 0.063330345","-0.61214483","-0.54981705"," 0.0940198542"," 0.062327781"
"64","2","Ddx60"," 3","-0.086634313","-0.040906073","-0.59554539","-0.48039509"," 0.0457282400"," 0.115150301"
"65","2","Mndal"," 3","-0.094964902","-0.095644655","-0.56035354","-0.49567722","-0.0006797528"," 0.064676319"
"66","2","Ifi206"," 3","-0.106839177","-0.038034842","-0.57178387","-0.69367201"," 0.0688043351","-0.121888135"
"67","2","Trim30c"," 3","-0.245938155","-0.108258540","-0.68995909","-0.77371627"," 0.1376796141","-0.083757182"
"68","2","Gm4951"," 3","-0.141903089","-0.151268189","-0.78572784","-0.74562633","-0.0093650994"," 0.040101512"
"69","2","Maml2"," 3","-0.235959363","-0.380559218","-0.78117034","-0.55956502","-0.1445998550"," 0.221605324"
"70","2","Cxcl10"," 4"," 0.035303534"," 0.223642896","-0.30414270","-0.14194264"," 0.1883393617"," 0.162200054"
"71","2","Sap30"," 4","-0.052489264"," 0.188134076","-0.45801092","-0.23271750"," 0.2406233397"," 0.225293420"
"72","2","Fam102b"," 4","-0.097873259"," 0.148666101","-0.46465558","-0.21322973"," 0.2465393609"," 0.251425854"
"73","2","Peli1"," 4","-0.024595009"," 0.165280884","-0.45962406","-0.31981632"," 0.1898758926"," 0.139807747"
"74","2","Ifi213"," 4","-0.084349508"," 0.065659862","-0.47814709","-0.32317665"," 0.1500093698"," 0.154970439"
"75","2","Slc25a37"," 4","-0.242092467"," 0.049038318","-0.42891927","-0.39356764"," 0.2911307845"," 0.035351622"
"76","2","Copa"," 4","-0.226474841","-0.114942313","-0.32383218","-0.23529062"," 0.1115325275"," 0.088541560"
"77","2","Tmem67"," 4","-0.091641875"," 0.065953214","-0.55918566","-0.07540229"," 0.1575950891"," 0.483783373"
"78","2","Zup1"," 4"," 0.007519850"," 0.167805585","-0.57551459","-0.18475518"," 0.1602857344"," 0.390759409"
"79","2","Slfn4"," 4","-0.197438233"," 0.066818161","-0.62020715","-0.29264554"," 0.2642563940"," 0.327561612"
"80","2","Flrt2"," 4","-0.242297108","-0.119540306","-0.41597406","-0.09266300"," 0.1227568026"," 0.323311068"
"81","2","Mertk"," 4","-0.317137601","-0.228492419","-0.45701689","-0.14258872"," 0.0886451816"," 0.314428172"
"82","2","Gadd45b"," 4","-0.029540215","-0.009023837","-0.43787795","-0.29001266"," 0.0205163778"," 0.147865287"
"83","2","Mtus1"," 4","-0.230787249","-0.110466803","-0.53184802","-0.33365650"," 0.1203204459"," 0.198191520"
"84","2","Sash1"," 4","-0.146281539","-0.169879326","-0.54638094","-0.33009631","-0.0235977867"," 0.216284624"
"85","2","Htra4"," 4","-0.088512874","-0.235290065","-0.59548083","-0.28886787","-0.1467771911"," 0.306612956"
"86","2","Nlrc5"," 4","-0.328852724","-0.423621278","-0.68459234","-0.29099259","-0.0947685542"," 0.393599756"
"87","2","Gm12185"," 5","-0.259390032"," 0.284443155","-0.85288535","-0.35614804"," 0.5438331865"," 0.496737303"
"88","2","Il15ra"," 5","-0.183587153"," 0.068007169","-0.82679572","-0.30591388"," 0.2515943219"," 0.520881835"
"89","2","Ifi208"," 5","-0.171255740"," 0.217413811","-0.72980080","-0.45871135"," 0.3886695508"," 0.271089448"
"90","2","Slfn9"," 5","-0.083508341"," 0.172165550","-0.75063659","-0.45785794"," 0.2556738910"," 0.292778655"
"91","2","Serpine1"," 5","-0.537310488","-0.113633797","-0.96076143","-0.65678322"," 0.4236766913"," 0.303978213"
"92","3","Ifi209"," 1"," 0.122547560","-0.007083454","-0.32351805","-0.55926141","-0.1296310136","-0.235743356"
"93","3","Ifi205"," 1"," 0.121809838","-0.012333506","-0.51012275","-0.69230219","-0.1341433444","-0.182179442"
"94","3","Rsbn1l"," 1"," 0.024851219","-0.128862672","-0.40984404","-0.70429990","-0.1537138906","-0.294455856"
"95","3","Veph1"," 1"," 0.018772614","-0.365109870","-0.26345594","-0.66331642","-0.3838824836","-0.399860481"
"96","3","Slfn3"," 1","-0.027072359","-0.260900449","-0.54336658","-0.90182352","-0.2338280902","-0.358456936"
"97","3","Elane"," 1","-0.021993633","-0.251292531","-0.45085565","-1.00193861","-0.2292988980","-0.551082958"
"98","3","Ccl7"," 2","-0.115545731","-0.225206311","-0.30153452","-0.34855784","-0.1096605795","-0.047023313"
"99","3","Ifnb1"," 2","-0.085994724","-0.115132176","-0.29404132","-0.45763225","-0.0291374520","-0.163590930"
"100","3","Sp140"," 2","-0.096835759","-0.075593143","-0.37047035","-0.52554478"," 0.0212426161","-0.155074438"
"101","3","Ccl12"," 2","-0.132059352","-0.095866030","-0.37420846","-0.57215772"," 0.0361933217","-0.197949259"
"102","3","Tbc1d9"," 2","-0.304969935","-0.254761834","-0.39179293","-0.50343405"," 0.0502081009","-0.111641125"
"103","3","Ifit2"," 2"," 0.067736732","-0.067153508","-0.28546801","-0.50070912","-0.1348902409","-0.215241108"
"104","3","Ifit1"," 2"," 0.067733369","-0.103865033","-0.18293355","-0.48264563","-0.1715984028","-0.299712078"
"105","3","Trim25"," 2","-0.063256574","-0.207335128","-0.25637071","-0.48935961","-0.1440785541","-0.232988896"
"106","3","Ptx3"," 2","-0.024905824","-0.218007496","-0.34076202","-0.52760918","-0.1931016719","-0.186847155"
"107","3","Cltc"," 2","-0.145716106","-0.354696359","-0.06236653","-0.32148776","-0.2089802526","-0.259121231"
"108","3","Dync1i2"," 2","-0.087659161","-0.210109112","-0.16130223","-0.37739011","-0.1224499513","-0.216087877"
"109","3","Eif5b"," 2","-0.136738558","-0.272050295","-0.18499269","-0.40832873","-0.1353117363","-0.223336035"
"110","3","Myof"," 2","-0.220543104","-0.266587528","-0.19953550","-0.46698941","-0.0460444239","-0.267453911"
"111","3","Pdia6"," 2","-0.101891854","-0.289485535","-0.15286067","-0.47700529","-0.1875936815","-0.324144615"
"112","3","Fam111a"," 2","-0.121141326","-0.310580195","-0.26861170","-0.51684394","-0.1894388686","-0.248232241"
"113","3","Ahnak"," 2","-0.213349940","-0.479787008","-0.39446157","-0.45288975","-0.2664370682","-0.058428181"
"114","3","Fabp4"," 2","-0.444478044","-0.583334221","-0.40755203","-0.41192984","-0.1388561773","-0.004377804"
"115","3","Hspa5"," 2","-0.229013057","-0.305291966","-0.35698731","-0.62026427","-0.0762789088","-0.263276965"
"116","3","Camp"," 2","-0.289831316","-0.362413911","-0.31760586","-0.60126197","-0.0725825943","-0.283656115"
"117","3","Mrc1"," 2","-0.267097003","-0.481978056","-0.30070187","-0.56732405","-0.2148810530","-0.266622179"
"118","3","Ifi203"," 2","-0.194078626","-0.291318619","-0.52501156","-0.68611828","-0.0972399925","-0.161106714"
"119","3","Hk2"," 2","-0.242620452","-0.423679818","-0.49433967","-0.62568897","-0.1810593657","-0.131349306"
"120","4","Asns"," 6"," 0.960194306"," 0.459694745"," 1.07138162"," 0.40188803","-0.5004995602","-0.669493590"
"121","4","BC035044"," 6"," 0.874694985"," 0.477667222"," 0.56071656"," 0.38960159","-0.3970277634","-0.171114970"
"122","4","Ccr7"," 6"," 0.630790662"," 0.389356920"," 0.54970299"," 0.10997107","-0.2414337413","-0.439731912"
"123","4","Cd69"," 7"," 0.430792581"," 0.577773378","-0.07211012","-0.08168459"," 0.1469807969","-0.009574472"
"124","4","Clec4e"," 7"," 0.276774567"," 0.430147129"," 0.14326642"," 0.03541752"," 0.1533725621","-0.107848898"
"125","4","Bcl2a1d"," 7"," 0.133602630"," 0.367025104"," 0.11842329"," 0.08116174"," 0.2334224731","-0.037261550"
"126","4","Bcl2a1b"," 7"," 0.119122910"," 0.304854410"," 0.08457677"," 0.12050992"," 0.1857314995"," 0.035933155"
"127","4","Rpl7"," 7"," 0.147523099"," 0.272222153"," 0.14826248"," 0.14157434"," 0.1246990540","-0.006688143"
"128","4","Cxcl3"," 7"," 0.185478215"," 0.366557880","-0.07481569","-0.01066360"," 0.1810796644"," 0.064152095"
"129","4","Dcstamp"," 7"," 0.238897010"," 0.354118257"," 0.38212270"," 0.29108523"," 0.1152212473","-0.091037479"
"130","4","Rpl3"," 7"," 0.306160681"," 0.447434264"," 0.30755181"," 0.19221848"," 0.1412735831","-0.115333331"
"131","4","Gba"," 7"," 0.152514291"," 0.244119051"," 0.37475459"," 0.15293277"," 0.0916047598","-0.221821829"
"132","4","Napsa"," 7"," 0.236159061"," 0.222934855"," 0.39182376"," 0.16862939","-0.0132242052","-0.223194371"
"133","4","Psmb2"," 7"," 0.237917343"," 0.239137669"," 0.27533914"," 0.12661895"," 0.0012203268","-0.148720188"
"134","4","Pkm"," 7"," 0.115439314"," 0.123869127"," 0.26179703"," 0.06730880"," 0.0084298129","-0.194488225"
"135","4","Pfdn4"," 7"," 0.271115997"," 0.138883935"," 0.37103904"," 0.13285831","-0.1322320626","-0.238180721"
"136","4","mt-Atp6"," 7"," 0.291904640"," 0.102003258"," 0.35084879"," 0.14730653","-0.1899013828","-0.203542262"
"137","4","Ap1m1"," 7"," 0.372216148"," 0.317349716"," 0.51075260"," 0.16079773","-0.0548664321","-0.349954865"
"138","4","Eci2"," 7"," 0.340577330"," 0.294140065"," 0.44081183"," 0.13749472","-0.0464372656","-0.303317115"
"139","4","Tango2"," 7"," 0.225095043"," 0.364977998"," 0.52157735"," 0.07522871"," 0.1398829547","-0.446348640"
"140","4","Nsmce1"," 7"," 0.132726422"," 0.122278907"," 0.42060245"," 0.04734153","-0.0104475145","-0.373260917"
"141","4","Fen1"," 7"," 0.197647087"," 0.068030960"," 0.51009104","-0.01690753","-0.1296161264","-0.526998567"
"142","4","Egr2"," 7","-0.232532929","-0.087670822"," 0.52628028"," 0.31263885"," 0.1448621071","-0.213641428"
"143","4","Arhgap25"," 7","-0.009989465","-0.136299658"," 0.36404869"," 0.16031422","-0.1263101936","-0.203734473"
"144","4","Tnfrsf9"," 8"," 0.527191855"," 0.642284371"," 0.81434884"," 0.64057866"," 0.1150925158","-0.173770183"
"145","4","F2rl2"," 8"," 0.403790797"," 0.632323104"," 0.62087690"," 0.46472803"," 0.2285323069","-0.156148869"
"146","4","Mgl2"," 8"," 0.607940159"," 0.491047640"," 0.79544602"," 0.48825388","-0.1168925195","-0.307192145"
"147","4","Mthfd2"," 8"," 0.646586084"," 0.654434037"," 0.58435188"," 0.39643906"," 0.0078479530","-0.187912819"
"148","4","Cstdc4"," 8"," 0.463595858"," 0.417847060"," 0.55401402"," 0.39360204","-0.0457487976","-0.160411975"
"149","4","Car2"," 8"," 0.555331744"," 0.491448936"," 0.47395585"," 0.23598649","-0.0638828087","-0.237969363"
"150","4","Il1r2"," 8"," 0.476764586"," 0.282741344"," 0.58292957"," 0.51961964","-0.1940232418","-0.063309926"
"151","4","Scimp"," 8"," 0.326548638"," 0.220822163"," 0.59845854"," 0.44720171","-0.1057264746","-0.151256833"
"152","4","Timm17b"," 8"," 0.274803745"," 0.354140227"," 0.52529504"," 0.38495128"," 0.0793364814","-0.140343762"
"153","4","Lypla1"," 8"," 0.289484565"," 0.356073969"," 0.47421217"," 0.33054887"," 0.0665894037","-0.143663301"
